资产总计 存货 股票价格 营业收入 总负债 营业税金及附加 盈余公积金 应付利息 流动资产 负债总计 利润总额 总股本 净利润 财务费用 无形资产 总资产 股东权益 资本公积 固定资产 销售费用 应收账款 杜邦分析 流动负债 未分配利润 递延所得税资产 实收资本（或股本） 评估分数 评估类别
16235858384.51 4078211815.73 10.8551035 2391188142.87 7987906047.63 34673074.92 333626075.91 6682492.64 8076823007.39 7987906047.63 245012442.2 108157.4 190962708.38 50151783.68 716155713.25 16235858384.51 8247952336.88 3273973875.49 5373801391.27 52040000.0 1484592694.58 2.0 5644638222.0 1811606048.27 484119092.45 1081574000.0 5.5 可疑
23899911340.93 2947617183.75 16.15 4287890060.46 12617079543.63 22666589.32 177724340.1 68439418.23 11009384207.89 12617079543.63 620528345.31 112276.5 536102555.08 137443319.95 384447107.1 23899911340.93 11282831797.3 2984483184.24 3075070719.42 204000000.0 3022528657.66 4.45 9007932646.0 3321928804.06 70545971.26 1122764986.0 8.13 可疑
24495618496.48 3022121218.44 10.8551035 1813531187.95 12452521388.49 8030997.66 177724340.1 41280663.58 10565022507.37 12452521388.49 223093230.28 112276.5 180387779.6 63588084.29 373581737.72 24495618496.48 12043097107.99 2952259402.88 2890858592.75 99430000.0 3116874734.44 1.38 8045964333.68 3073453690.77 69102968.12 1122764986.0 4.47 危险
22073190367.51 2333520492.96 10.8551035 8270540870.17 10943458702.93 58867448.04 177724340.1 74600627.75 9244513483.1 10943458702.93 1245231927.28 112276.5 1009856360.99 223770301.94 374607090.46 22073190367.51 11129731664.58 2952259402.88 2645360347.41 386000000.0 2713761282.33 9.66 6878568849.9 2923685299.38 69060802.69 1122764986.0 14.14 健康
20780428959.84 1993821794.53 10.8551035 6643679241.79 10887760980.12 35433525.11 136770423.28 33603996.59 9310372648.67 10887760980.12 693180459.58 112276.5 565216410.35 158765981.16 426378684.43 20780428959.84 9892667979.72 2958977087.22 2309878872.39 295000000.0 2862161080.02 5.39 7148765048.53 2536497963.49 69433656.67 1122764986.0 9.02 可疑
17717290862.95 1806453706.02 10.8551035 3852360639.5 8414509277.34 25579014.91 136770423.28 18749999.92 9215542208.58 8414509277.34 475843062.15 112276.5 394238557.17 86471138.58 429215026.8 17717290862.95 9302781585.61 2930409406.19 2032055184.21 200000000.0 2583002764.7 4.05 6351593823.92 2407573543.24 69323835.95 1122764986.0 7.85 可疑
15409853527.13 1422755800.4 10.8551035 1537699891.71 6448865828.78 6540985.76 136770423.28 4687499.92 7618196746.76 6448865828.78 131517543.63 112276.5 103975396.88 38374349.72 394156424.35 15409853527.13 8960987698.35 2934572820.51 1871691283.89 98640000.0 2218020530.52 1.01 4456872077.14 2241761443.65 63378731.35 1122764986.0 5.41 可疑
4419536420.16 477373917.34 23.42 941806646.87 1422949640.15 7389886.54 70520595.96 991539.74 2551366302.77 1422949640.15 526417290.39 33966.75 443073659.44 17478830.91 208561763.59 4419536420.16 2996586780.01 1073261762.8 809482728.8 45910000.0 718205460.52 16.53 1331794246.95 1393508282.16 19403962.6 339667541.0 23.65 健康
4169793208.8 500057365.43 10.8551035 436134026.87 1248842401.46 4211633.99 70520595.96 803176.47 2438474919.01 1248842401.46 485231109.75 33966.75 409914089.35 7400499.07 210702689.53 4169793208.8 2920950807.34 1072754794.22 805583384.41 17260000.0 679329707.52 15.19 1136513373.23 1359016585.01 18545446.47 339667541.0 22.94 健康
3691720695.76 331968663.22 10.8551035 2057303096.04 1046553079.7 17263885.7 70520595.96 408182.89 1819826675.52 1046553079.7 356563259.29 33966.75 301262464.07 15646699.09 201696113.13 3691720695.76 2645167616.06 1191871787.61 811890939.99 107000000.0 680710607.58 15.17 1000504953.24 947509785.21 18839311.5 339667541.0 23.04 健康
